Name,A,B1,B2,C1,C2,C3,C4,C5,C6
Allison,Shohei Ohtani,Matt Olson,Andy Pages,Munetaka Murakami,Jake Burger,Gunnar Henderson,Jackson Merrill,Kazuma Okamoto,Brandon Nimmo
Bao,Shohei Ohtani,Bryce Harper,Fernando Tatis Jr.,Nolan Gorman,Josh Jung,Jake Burger,Christopher Morel,Nolan Jones,Ryan Mountcastle
Brian S.,Aaron Judge,Vladimir Guerrero Jr.,Bobby Witt Jr.,Jordan Beck,Yordan Alvarez,Josh Jung,Nolan Gorman,Christopher Morel,Tyler O'Neill
Cam,Aaron Judge,Manny Machado,Ben Rice,Marcus Semien,Gunnar Henderson,Bryan Reynolds,Brenton Doyle,Brice Turang,Jarren Duran
Darren,Shohei Ohtani,Matt Olson,Ronald Acuna Jr.,Alex Bregman,Yordan Alvarez,Munetaka Murakami,Gunnar Henderson,Jorge Soler,Austin Riley
Derek,Nick Kurtz,Brent Rooker,Tyler Soderstrom,Austin Riley,Yordan Alvarez,Munetaka Murakami,Gunnar Henderson,Jake Burger,Jackson Merrill
Dustin,Aaron Judge,Ronald Acuna Jr.,Brent Rooker,Austin Riley,Gunnar Henderson,Yordan Alvarez,Munetaka Murakami,Kazuma Okamoto,Roman Anthony
Jeremy,Aaron Judge,Brent Rooker,Bobby Witt Jr.,Max Kepler,Bo Bichette,Alec Burleson,Ryan O'Hearn,Jeremy Pena,Nick Castellanos
JG,Shohei Ohtani,Fernando Tatis Jr.,Manny Machado,Xander Bogaerts,Luis Campusano,Evan Carter,Josh Jung,Colt Keith,Jordan Walker
Jimmy,Aaron Judge,Randy Arozarena,Vladimir Guerrero Jr.,Bo Bichette,Jackson Merrill,Alejandro Kirk,Nolan Arenado,Mike Yastrzemski,Ozzie Albies
Joyce,Shohei Ohtani,Matt Olson,Brent Rooker,Nolan Gorman,Christopher Morel,Josh Jung,Spencer Jones,Colt Keith,Jackson Holliday
JP,Aaron Judge,Ronald Acuna Jr.,Vladimir Guerrero Jr.,Munetaka Murakami,Yordan Alvarez,Mark Vientos,Gunnar Henderson,Jake Burger,Austin Riley
Kendal,Aaron Judge,Fernando Tatis Jr.,Vladimir Guerrero Jr.,Alex Bregman,Gunnar Henderson,Yordan Alvarez,Kazuma Okamoto,Konnor Griffin,Roman Anthony
Lyle,Shohei Ohtani,Matt Olson,Brent Rooker,Yordan Alvarez,Gunnar Henderson,Austin Riley,Luis Robert Jr.,Anthony Santander,Munetaka Murakami
Matt,Aaron Judge,Ketel Marte,Manny Machado,Roman Anthony,Ozzie Albies,Jackson Merrill,Bo Bichette,William Contreras,Gunnar Henderson
Mike,Shohei Ohtani,Brent Rooker,Vladimir Guerrero Jr.,Gunnar Henderson,Munetaka Murakami,Austin Riley,Jake Burger,Yordan Alvarez,Nolan Gorman
Rachel,Aaron Judge,Matt Olson,Wyatt Langford,Yordan Alvarez,Austin Riley,Gunnar Henderson,Roman Anthony,Jasson Dominguez,Jac Caglianone
Rand,Aaron Judge,Ronald Acuna Jr.,Ketel Marte,Kazuma Okamoto,Munetaka Murakami,Alex Bregman,Austin Riley,Jorge Soler,Francisco Alvarez
Ryan,Shohei Ohtani,Ronald Acuna Jr.,Vladimir Guerrero Jr.,Alex Bregman,Austin Riley,Gunnar Henderson,Yordan Alvarez,Kazuma Okamoto,Roman Anthony
Steve,Shohei Ohtani,Teoscar Hernandez,Jose Ramirez,Jake Burger,Kazuma Okamoto,Jackson Merrill,Nolan Gorman,Luis Robert Jr.,Jorge Soler
